Server Name,Feed Name,Session Name,Channel,Customer,Multicast Group,Switch IP,Interface
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures US Financials FOD,A,Victory Networks,233.156.208.4,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures Europe Options TOB,A,Victory Networks,233.156.208.40,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures Europe Options TOB,A,Victory Networks,233.156.208.41,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures US Agricultures Options TOB,A,Victory Networks,233.156.208.42,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures US Agricultures Options TOB,A,Victory Networks,233.156.208.43,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures US Financials Options TOB,A,Victory Networks,233.156.208.44,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures US Financials Options TOB,A,Victory Networks,233.156.208.45,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures Canada Options TOB Updates,A,Victory Networks,233.156.208.46,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE Futures Canada Options TOB Updates,A,Victory Networks,233.156.208.47,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures US Financials FOD,A,Victory Networks,233.156.208.5,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Brent FOD,A,Victory Networks,233.156.208.52,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Brent FOD,A,Victory Networks,233.156.208.53,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Brent TOP5PL,A,Victory Networks,233.156.208.54,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Brent TOP5PL,A,Victory Networks,233.156.208.55,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures WTI FOD,A,Victory Networks,233.156.208.56,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures WTI FOD,A,Victory Networks,233.156.208.57,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures WTI TOP5PL,A,Victory Networks,233.156.208.58,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures WTI TOP5PL,A,Victory Networks,233.156.208.59,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures US Financials Top5PL,A,Victory Networks,233.156.208.6,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Europe Oil Others FOD,A,Victory Networks,233.156.208.60,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Europe Oil Others FOD,A,Victory Networks,233.156.208.61,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Europe Oil Others TOP5PL,A,Victory Networks,233.156.208.62,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Europe Oil Others TOP5PL,A,Victory Networks,233.156.208.63,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Brent FOD Full Implied,A,Victory Networks,233.156.208.64,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Brent FOD Full Implied,A,Victory Networks,233.156.208.65,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Brent TOP5PL Full Implied,A,Victory Networks,233.156.208.66,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Brent TOP5PL Full Implied,A,Victory Networks,233.156.208.67,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures WTI FOD Full Implied,A,Victory Networks,233.156.208.68,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures WTI FOD Full Implied,A,Victory Networks,233.156.208.69,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures US Financials Top5PL,A,Victory Networks,233.156.208.7,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures WTI TOP5PL Full Implied,A,Victory Networks,233.156.208.70,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures WTI TOP5PL Full Implied,A,Victory Networks,233.156.208.71,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Europe Oil Others FOD Full Implied,A,Victory Networks,233.156.208.72,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_fod,ICE Futures Europe Oil Others FOD Full Implied,A,Victory Networks,233.156.208.73,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Europe Oil Others TOP5PL Full Implied,A,Victory Networks,233.156.208.74,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_top5,ICE Futures Europe Oil Others TOP5PL Full Implied,A,Victory Networks,233.156.208.75,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE OTC Options TOB Updates,A,Victory Networks,233.156.208.78,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,impact_chi1_opt_tob,ICE OTC Options TOB Updates,A,Victory Networks,233.156.208.79,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,nfx,ITCH Group 1,A,Victory Networks,233.187.20.225,10.64.254.1,Et34
VN-DC3-PC-1-P4P1,nfx,ITCH Group 2,A,Victory Networks,233.187.20.226,10.64.254.1,Et34
VN-NY4-TP-4-p3p1,cqs,E-1,A,Victory Networks,233.200.79.0,10.75.128.9,Et10
VN-NY4-SP-2,cqs,E-1,A,Victory Networks,233.200.79.0,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cqs,E-1,A,Victory Networks,233.200.79.0,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cqs,E-2,A,Victory Networks,233.200.79.1,10.75.128.9,Et10
VN-NY4-SP-2,cqs,E-2,A,Victory Networks,233.200.79.1,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cqs,E-2,A,Victory Networks,233.200.79.1,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cqs,E-11,A,Victory Networks,233.200.79.10,10.75.128.9,Et10
VN-NY4-SP-2,cqs,E-11,A,Victory Networks,233.200.79.10,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cqs,E-11,A,Victory Networks,233.200.79.10,10.75.128.11,Et15
VN-NY4-TP-4-p3p1,cqs,E-12,A,Victory Networks,233.200.79.11,10.75.128.9,Et10
VN-NY4-SP-2,cqs,E-12,A,Victory Networks,233.200.79.11,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cqs,E-12,A,Victory Networks,233.200.79.11,10.75.128.11,Et15
VN-NY4-CAP-2-eth6,not-found,not-found,not-found,Victory Networks,233.200.79.12,10.75.128.9,Et15
VN-NY4-TP-4-p3p1,cts,A-1,A,Victory Networks,233.200.79.128,10.75.128.9,Et10
VN-NY4-SP-2,cts,A-1,A,Victory Networks,233.200.79.128,10.75.128.9,Et26
VN-NY4-SANDBOX-2,cts,A-1,A,Victory Networks,233.200.79.128,10.75.128.11,Et15
